# Magnetización por sitio m	Probabilidad
-1	0.401312
-0.944444	0.406663
-0.888889	0.412036
-0.833333	0.41743
-0.777778	0.422844
-0.722222	0.428276
-0.666667	0.433726
-0.611111	0.439191
-0.555556	0.444672
-0.5	0.450166
-0.444444	0.455672
-0.388889	0.461189
-0.333333	0.466716
-0.277778	0.472251
-0.222222	0.477792
-0.166667	0.48334
-0.111111	0.488891
-0.0555556	0.494445
0	0.5
0.0555556	0.505555
0.111111	0.511109
0.166667	0.51666
0.222222	0.522208
0.277778	0.527749
0.333333	0.533284
0.388889	0.538811
0.444444	0.544328
0.5	0.549834
0.555556	0.555328
0.611111	0.560809
0.666667	0.566274
0.722222	0.571724
0.777778	0.577156
0.833333	0.58257
0.888889	0.587964
0.944444	0.593337
1	0.598688
